acc_id,acc_fk_pharma,acc_year,acc_fk_transaction_category,acc_value,acc_type
158,35,2017,1,64209.59,hco
159,35,2017,2,720819.03,hco
160,35,2017,3,36524.15,hco
161,35,2017,4,36951.63,hco
162,35,2017,5,63627.6,hco
163,35,2017,6,1800.0,hco
164,38,2017,5,14389.37,hcp
165,38,2017,2,1000.0,hco
166,40,2017,3,6636.0,hcp
167,40,2017,4,48970.0,hcp
168,40,2017,5,52862.0,hcp
169,40,2017,6,13375.0,hcp
170,40,2017,1,300000.0,hco
171,40,2017,2,926.0,hco
172,41,2017,3,3695.29,hcp
173,42,2017,3,4509.38,hcp
174,42,2017,4,3520.68,hcp
175,42,2017,5,2624.65,hcp
176,42,2017,6,458.86,hcp
177,43,2017,2,1476.0,hcp
178,43,2017,3,15567.0,hcp
179,43,2017,4,77540.0,hcp
180,43,2017,5,12342.0,hcp
181,43,2017,1,350477.0,hco
182,43,2017,2,646.0,hco
183,43,2017,3,761.0,hco
184,43,2017,4,30758.0,hco
185,43,2017,5,453.0,hco
186,44,2017,3,389.23,hcp
187,44,2017,4,1710.07,hcp
188,44,2017,5,6111.55,hcp
189,44,2017,2,14679.11,hco
190,45,2017,3,11454.39,hcp
191,45,2017,4,21588.52,hcp
192,45,2017,5,64707.0,hcp
193,45,2017,6,3008.17,hcp
194,45,2017,1,55507.61,hco
195,45,2017,2,1462.95,hco
196,45,2017,3,407.43,hco
197,45,2017,4,4814.15,hco
198,45,2017,5,5250.0,hco
199,46,2017,4,1042.64,hcp
200,46,2017,5,10466.74,hcp
201,46,2017,6,957.34,hcp
202,46,2017,1,187500.0,hco
203,46,2017,2,42854.12,hco
204,46,2017,5,3055.56,hco
205,47,2017,3,14943.32,hcp
206,47,2017,4,39881.12,hcp
207,47,2017,5,175477.74,hcp
208,47,2017,6,48500.22,hcp
209,47,2017,1,100000.0,hco
210,47,2017,2,463264.9,hco
211,47,2017,4,4947.3,hco
212,47,2017,5,164073.77,hco
213,47,2017,6,17657.04,hco
214,48,2017,3,2032.0,hcp
215,48,2017,4,5674.0,hcp
216,48,2017,5,21314.0,hcp
217,48,2017,1,170.0,hco
218,48,2017,2,292698.0,hco
219,48,2017,5,35358.0,hco
220,48,2017,6,1765.0,hco
221,50,2017,4,2723.42,hcp
222,50,2017,5,14547.45,hcp
223,50,2017,6,1076.32,hcp
224,50,2017,2,15000.0,hco
225,50,2017,5,2700.0,hco
226,51,2017,3,443.0,hcp
227,51,2017,4,1133.0,hcp
228,52,2017,5,12062.55,hcp
229,52,2017,6,171.2,hcp
230,53,2017,5,4800.0,hcp
231,53,2017,2,2050.0,hco
232,54,2017,3,4130.4,hcp
233,54,2017,4,7164.35,hcp
234,54,2017,5,681.09,hcp
235,54,2017,6,681.09,hcp
236,55,2017,3,10109.39,hcp
237,55,2017,4,26236.26,hcp
238,55,2017,5,54119.54,hcp
239,55,2017,6,27376.26,hcp
240,55,2017,2,169292.78,hco
241,55,2017,6,146.0,hco
242,56,2017,3,3387.0,hcp
243,56,2017,2,1000.0,hco
244,1,2017,7,1761943.0,rnd
245,2,2017,7,2214325.54,rnd
246,3,2017,7,130324.75,rnd
247,4,2017,7,0.0,rnd
248,5,2017,7,566434.79,rnd
249,6,2017,7,1226796.97,rnd
250,7,2017,7,103663.79,rnd
251,8,2017,7,6671673.0,rnd
252,9,2017,7,0.0,rnd
253,10,2017,7,4641127.69,rnd
254,11,2017,7,331586.8,rnd
255,12,2017,7,1253858.0,rnd
256,13,2017,7,1315.13,rnd
257,14,2017,7,1847280.27,rnd
258,15,2017,7,6269742.0,rnd
259,16,2017,7,1275895.49,rnd
260,17,2017,7,320506.0,rnd
261,18,2017,7,821454.0,rnd
262,19,2017,7,0.0,rnd
263,20,2017,7,385588.0,rnd
264,21,2017,7,0.0,rnd
265,22,2017,7,14592.17,rnd
266,23,2017,7,17832.0,rnd
267,24,2017,7,2384393.0,rnd
268,25,2017,7,193885.41,rnd
269,26,2017,7,13220.0,rnd
270,27,2017,7,7500.0,rnd
271,28,2017,7,1291864.0,rnd
272,29,2017,7,0.0,rnd
273,30,2017,7,33390.25,rnd
274,31,2017,7,224177.89,rnd
275,32,2017,7,0.0,rnd
276,33,2017,7,0.0,rnd
277,34,2017,7,308176.92,rnd
