source,target,r_name,r_address,r_location,r_ratio
234.0,5059.0,100.0,100.0,100.0,
5059.0,234.0,100.0,100.0,100.0,
658.0,3370.0,100.0,64.0,100.0,
3370.0,658.0,100.0,64.0,100.0,
190.0,7237.0,100.0,100.0,100.0,
7237.0,190.0,100.0,100.0,100.0,
8836.0,3181.0,100.0,100.0,100.0,
3181.0,8836.0,100.0,100.0,100.0,
4.0,4496.0,100.0,100.0,100.0,
4496.0,4.0,100.0,100.0,100.0,
10238.0,9523.0,100.0,100.0,100.0,
9523.0,10238.0,100.0,100.0,100.0,
8080.0,667.0,96.0,56.0,100.0,
7846.0,9385.0,100.0,100.0,100.0,
9385.0,7846.0,100.0,100.0,100.0,
226.0,8838.0,100.0,100.0,100.0,
226.0,10092.0,100.0,100.0,100.0,
226.0,6384.0,100.0,100.0,100.0,
8838.0,226.0,100.0,100.0,100.0,
8838.0,10092.0,100.0,100.0,100.0,
8838.0,6384.0,100.0,100.0,100.0,
10092.0,226.0,100.0,100.0,100.0,
10092.0,8838.0,100.0,100.0,100.0,
10092.0,6384.0,100.0,100.0,100.0,
6384.0,226.0,100.0,100.0,100.0,
6384.0,8838.0,100.0,100.0,100.0,
6384.0,10092.0,100.0,100.0,100.0,
3379.0,3794.0,100.0,100.0,100.0,
3794.0,3379.0,100.0,100.0,100.0,
10378.0,8843.0,100.0,100.0,100.0,
10378.0,7136.0,100.0,47.0,100.0,
10378.0,4531.0,100.0,100.0,100.0,
8843.0,10378.0,100.0,100.0,100.0,
8843.0,7136.0,100.0,100.0,100.0,
8843.0,4531.0,100.0,100.0,100.0,
7136.0,10378.0,100.0,47.0,100.0,
7136.0,8843.0,100.0,100.0,100.0,
7136.0,4531.0,100.0,100.0,100.0,
4531.0,10378.0,100.0,100.0,100.0,
4531.0,8843.0,100.0,100.0,100.0,
4531.0,7136.0,100.0,100.0,100.0,
667.0,8080.0,96.0,56.0,100.0,
8718.0,229.0,100.0,100.0,100.0,
229.0,8718.0,100.0,100.0,100.0,
6428.0,5739.0,100.0,100.0,100.0,
5739.0,6428.0,100.0,100.0,100.0,
1034.0,4120.0,100.0,100.0,100.0,
4120.0,1034.0,100.0,100.0,100.0,
9859.0,10426.0,100.0,74.0,100.0,
10426.0,9859.0,100.0,74.0,100.0,
2783.0,10077.0,100.0,100.0,100.0,
10077.0,2783.0,100.0,100.0,100.0,
1295.0,7396.0,100.0,72.0,100.0,
1295.0,8851.0,100.0,100.0,100.0,
1295.0,1053.0,100.0,100.0,100.0,
7396.0,1295.0,100.0,72.0,100.0,
7396.0,8851.0,100.0,100.0,100.0,
7396.0,1053.0,100.0,100.0,100.0,
8851.0,1295.0,100.0,100.0,100.0,
8851.0,7396.0,100.0,100.0,100.0,
8851.0,1053.0,100.0,100.0,100.0,
1053.0,1295.0,100.0,100.0,100.0,
1053.0,7396.0,100.0,100.0,100.0,
