source,target,r_name,r_address,r_location,r_ratio
5563.0,7009.0,100.0,37.0,100.0,
5563.0,5122.0,100.0,37.0,100.0,
7009.0,5563.0,100.0,37.0,100.0,
7009.0,5122.0,100.0,100.0,100.0,
5356.0,4611.0,100.0,50.0,100.0,
5356.0,2743.0,100.0,50.0,100.0,
5356.0,5124.0,100.0,50.0,100.0,
5356.0,409.0,100.0,50.0,100.0,
5356.0,2744.0,100.0,50.0,100.0,
7010.0,5342.0,100.0,22.0,100.0,
5342.0,7010.0,100.0,22.0,100.0,
5342.0,6379.0,100.0,100.0,100.0,
7573.0,2842.0,100.0,100.0,100.0,
7781.0,8298.0,100.0,100.0,100.0,
3881.0,3888.0,94.0,100.0,100.0,
4104.0,7714.0,96.0,100.0,100.0,
7714.0,4104.0,96.0,100.0,100.0,
1836.0,8202.0,100.0,50.0,100.0,
8110.0,9055.0,100.0,62.0,100.0,
8110.0,3747.0,100.0,62.0,100.0,
8125.0,8269.0,100.0,100.0,100.0,
5336.0,7948.0,100.0,50.0,100.0,
7949.0,5357.0,100.0,67.0,100.0,
7949.0,5362.0,100.0,67.0,100.0,
1499.0,6776.0,93.0,100.0,100.0,
1499.0,4690.0,93.0,100.0,100.0,
1499.0,6034.0,93.0,100.0,100.0,
1499.0,9142.0,93.0,75.0,100.0,
1499.0,3047.0,93.0,100.0,100.0,
1499.0,1856.0,93.0,100.0,100.0,
1499.0,4108.0,93.0,100.0,100.0,
1499.0,8848.0,93.0,100.0,100.0,
5414.0,4698.0,100.0,100.0,100.0,
1852.0,5385.0,94.0,13.0,100.0,
1852.0,2732.0,100.0,100.0,100.0,
1852.0,3097.0,100.0,100.0,100.0,
1852.0,4746.0,100.0,100.0,100.0,
4685.0,1490.0,92.0,100.0,100.0,
7501.0,8847.0,100.0,100.0,100.0,
7501.0,5606.0,100.0,100.0,100.0,
7501.0,5784.0,100.0,100.0,100.0,
7501.0,6129.0,100.0,100.0,100.0,
8847.0,7501.0,100.0,100.0,100.0,
8847.0,5606.0,100.0,95.0,100.0,
8847.0,5784.0,100.0,100.0,100.0,
8847.0,6129.0,100.0,100.0,100.0,
5606.0,7501.0,100.0,100.0,100.0,
5606.0,8847.0,100.0,95.0,100.0,
5606.0,5784.0,100.0,100.0,100.0,
5606.0,6129.0,100.0,100.0,100.0,
5357.0,7949.0,100.0,67.0,100.0,
5357.0,5362.0,100.0,100.0,100.0,
307.0,7500.0,91.0,76.0,100.0,
8271.0,3628.0,100.0,93.0,100.0,
3628.0,8271.0,100.0,93.0,100.0,
1802.0,3743.0,95.0,100.0,100.0,
1802.0,304.0,95.0,100.0,100.0,
7720.0,5330.0,100.0,25.0,100.0,
7720.0,7502.0,100.0,93.0,100.0,
4689.0,7951.0,100.0,100.0,100.0,
4689.0,6033.0,100.0,100.0,100.0,
7951.0,4689.0,100.0,100.0,100.0,
7951.0,6033.0,100.0,91.0,100.0,
6033.0,4689.0,100.0,100.0,100.0,
6033.0,7951.0,100.0,91.0,100.0,
4428.0,8855.0,100.0,100.0,100.0,
6379.0,5342.0,100.0,100.0,100.0,
3629.0,2820.0,100.0,100.0,100.0,
2820.0,3629.0,100.0,100.0,100.0,
8855.0,4428.0,100.0,100.0,100.0,
8857.0,5416.0,100.0,100.0,100.0,
8857.0,1212.0,100.0,90.0,100.0,
8857.0,8275.0,100.0,100.0,100.0,
8857.0,3287.0,100.0,90.0,100.0,
8857.0,6381.0,100.0,100.0,100.0,
8857.0,4296.0,100.0,90.0,100.0,
8857.0,3634.0,100.0,62.0,100.0,
