node,child
3390,3142
3390,2040
3390,3898
2040,3142
2040,3821
2040,3390
2040,3898
3815,3217
3815,522
3815,4286
2151,3217
2151,522
2151,4286
2151,1815
4022,2411
3567,3219
3392,950
1237,2502
1237,3879
3820,3982
3820,3642
3820,3643
3820,2499
3820,502
3820,1298
3820,4342
3820,1817
3820,505
3820,1162
3820,501
3820,4059
3820,4291
3820,504
3820,507
3820,3022
3820,506
3820,1033
3820,508
3820,503
3820,2305
3820,2264
3820,1534
3820,2298
3820,2327
3820,1597
3820,3553
3820,3714
3820,262
3820,3981
3820,263
3820,1625
3820,1163
3820,1164
3820,1165
3820,233
3820,4294
3820,4037
3820,4000
3820,4015
3820,1411
1838,2394
195,2820
195,2285
195,730
2820,2285
2820,730
3217,522
3217,4286
522,3815
522,2151
522,4286
522,1815
2685,3815
2685,2151
2685,3217
2685,522
2685,4286
2685,3375
2685,3025
2686,3448
282,4066
282,1839
282,1197
282,1419
282,1544
282,2522
282,429
282,2523
282,2821
282,1238
282,3055
282,763
282,12
282,3218
282,1710
282,2150
282,4003
282,3658
4066,1839
4066,1197
4066,1419
4066,1544
4066,2522
4066,429
4066,3448
4066,2523
4066,2821
4066,1238
4066,3055
4066,763
4066,12
4066,3218
4066,1710
4066,2150
4066,4003
4066,3658
1839,282
1839,1197
1839,1419
1839,1544
1839,2522
1839,429
1839,3448
1839,2523
1839,2821
1839,1238
1839,3055
1839,763
1839,12
1839,3218
1839,1710
1839,2150
1839,4003
1839,3658
1197,282
1197,4066
1197,1419
1197,1544
1197,2522
1197,429
1197,3448
1197,2523
1197,2821
1197,1238
1197,3055
1197,763
1197,12
1197,3218
1197,1710
1197,2150
1197,4003
1197,3658
1419,282
1419,4066
1419,1839
1419,1197
1419,1544
1419,2522
1419,429
1419,3448
1419,2523
1419,2821
1419,1238
1419,3055
1419,763
1419,12
1419,3218
1419,1710
1419,3658
1544,282
1544,4066
1544,1839
1544,1197
1544,1419
1544,2522
1544,429
1544,3448
1544,2523
1544,2821
1544,1238
1544,3055
1544,763
1544,12
1544,3218
1544,1710
1544,2150
1544,4003
1544,3658
2522,282
2522,4066
2522,1839
2522,1197
2522,1419
2522,1544
2522,429
2522,3448
2522,2523
2522,2821
2522,1238
2522,3055
2522,763
2522,12
2522,3218
2522,1710
2522,2150
2522,4003
2522,3658
429,282
429,4066
429,1839
429,1197
429,1419
429,1544
429,2522
429,3448
429,2523
429,2821
429,1238
429,3055
429,763
429,12
429,3218
429,1710
429,2150
429,4003
429,3658
3448,4066
3448,1839
3448,1197
3448,1419
3448,1544
3448,2522
3448,429
3448,2523
3448,2821
3448,1238
3448,3055
3448,763
3448,12
3448,3218
3448,1710
3448,2150
3448,4003
3448,3658
2523,282
2523,4066
2523,1839
2523,1197
2523,1419
2523,1544
2523,2522
2523,429
2523,3448
2523,2821
2523,1238
2523,3055
2523,763
2523,12
2523,3218
2523,1710
2523,2150
2523,4003
2523,3658
2821,282
