node,child
3419,2580
70,4852
70,4522
4852,4522
4522,70
4208,5179
4208,3392
3392,4208
6053,268
3958,3326
2407,4094
4197,5168
5498,4853
5498,3976
3303,1954
4853,5498
4853,3976
3976,4853
1613,5133
4500,5795
3403,3228
3806,1666
3806,3575
1666,3806
305,4965
305,3666
5266,1874
5266,1780
5266,5028
5266,4048
5266,4747
5513,5575
5513,1874
5513,1780
5513,5028
5513,4747
1721,747
4137,2249
5203,879
5203,1720
879,4244
879,2431
879,1720
1720,4244
1720,2431
1720,5203
4846,880
4846,775
880,4846
880,775
2174,4689
2175,1902
2175,903
3330,2351
3273,5644
2150,3359
2303,1956
2303,162
1956,162
162,2303
4010,4009
1959,4600
1959,5689
1959,2666
4600,5689
4600,2666
5689,1959
5689,2666
2666,1959
2666,4600
2666,5689
4854,887
1914,4690
2338,4856
2338,888
2338,4033
2338,1798
4856,888
4856,4033
4856,1798
888,2338
888,4856
888,4033
888,1798
4033,2338
4033,888
4033,1798
1798,2338
1798,4856
1798,888
1798,4033
1818,4974
1909,890
3380,4534
3380,4857
4534,4857
4857,3380
5237,2326
5237,1454
5237,1751
5287,1425
4185,5780
4185,1607
2257,4156
2257,1629
2257,5142
2257,891
4156,1629
4156,5142
4156,891
1629,2257
1629,5142
1629,891
5142,2257
5142,4156
5142,1629
5142,891
891,2257
891,4156
891,1629
891,5142
1529,5528
1960,5653
1960,2667
5653,2667
2667,1960
3635,4858
3635,782
4858,3635
4858,782
3615,5730
3615,892
892,3615
5654,4859
4860,785
4457,893
4457,4861
893,4861
4861,4457
2616,5559
2616,3683
2616,894
2616,5784
2616,4862
2616,1609
5559,3683
5559,894
5559,5784
5559,4862
5559,1609
3683,2616
3683,894
3683,5784
3683,4862
3683,1609
894,2616
894,5559
894,3683
894,4862
894,1609
5784,2616
5784,5559
5784,3683
5784,4862
5784,1609
4862,2616
4862,5559
4862,3683
4862,894
4862,5784
4862,1609
1609,2616
1609,5559
1609,3683
1609,894
1609,5784
1609,4862
4863,1239
4863,56
1239,56
56,4863
1715,5198
5822,3373
5822,5470
5822,2397
3373,5822
3373,5470
3373,2397
5470,3373
5470,2397
1650,4547
4864,104
4865,383
4865,466
383,4865
383,466
1700,4227
1700,1496
1446,895
1446,3423
1446,4693
1446,1836
895,3423
895,4693
895,1836
3423,1446
3423,4693
3423,1836
1386,4627
1386,4866
4627,4866
4866,1386
183,5953
5209,2668
5209,1734
2668,1734
1734,5209
2854,6008
2854,3141
6008,3141
3141,2854
6013,1855
246,3154
4693,1446
4693,895
4693,3423
4693,1836
1836,1446
1836,895
1836,3423
1836,4693
5288,1446
5288,895
5288,3423
5288,4693
5288,1836
4867,896
4867,1964
896,4867
896,1964
6051,263
1769,897
1496,1700
5907,1334
4674,3142
4674,230
3142,230
230,4674
3202,4772
164,3401
2333,1965
2333,4868
1965,4868
4868,2333
4414,1966
2216,346
28,4450
28,1967
4450,1967
1967,28
2538,2424
2538,1296
2424,1296
1296,2538
1805,4563
1805,3387
1805,113
4563,3387
4563,113
3387,1805
3387,113
113,1805
113,4563
113,3387
1315,4871
1315,900
4871,900
900,1315
3870,3399
3870,901
3399,3870
3399,1814
3399,901
3399,1361
1814,901
1814,1361
901,3399
901,1361
1361,3399
1361,1814
1361,901
5917,3576
5494,5218
5494,2773
5494,1968
2574,2773
2574,1968
5218,2773
5218,1968
2773,5494
2773,1968
1968,5494
1968,2574
1968,5218
1968,2773
3957,902
1902,903
903,2175
3987,3159
904,1775
460,5596
460,4869
5596,4869
4869,460
3778,3042
3413,905
3948,332
4034,2611
4075,3200
4299,5250
488,4426
243,3422
661,1395
3678,1227
3678,524
1227,524
524,3678
5191,4236
3897,3109
3897,1546
3109,1546
1546,3897
1763,2654
1763,906
2654,906
906,1763
4873,907
4873,550
907,4873
907,550
1969,5479
1969,3775
1969,4874
5479,3775
5479,4874
3775,1969
3775,4874
4874,1969
4874,5479
4874,3775
5536,4875
5525,5563
5292,1970
5292,4876
5292,3804
5292,603
1970,4876
1970,3804
1970,603
4876,5292
4876,1970
4876,3804
4876,603
3804,5292
3804,1970
3804,4876
3804,603
603,5292
603,4876
603,3804
1250,4509
4877,4749
4877,3188
4877,1971
4749,3188
4749,1971
3188,4877
3188,1971
1971,4877
1971,4749
1971,3188
908,3664
729,4878
729,909
4878,909
909,729
910,4879
910,662
910,1972
910,5202
4879,910
4879,662
4879,1972
4879,5202
662,1972
662,5202
1972,910
1972,4879
1972,5202
779,482
3120,1410
5942,1709
5942,2618
1709,2618
2618,5942
5782,3680
889,1737
2178,1402
2178,5968
2178,3116
2179,1819
2179,1430
2212,1753
2213,5257
2213,4889
2213,2138
5682,106
3881,912
3905,1973
1576,4881
4008,2205
4008,1476
4008,1762
4008,1808
4008,4712
5496,4275
5225,4275
758,1974
4785,68
2717,5741
4884,2505
4778,3651
4778,4108
4778,5295
3651,4108
3651,5295
4108,4778
4108,5295
5295,4778
5295,3651
5295,4108
2729,5804
558,913
3730,1631
3730,3570
3570,3730
88,2533
1977,1685
1977,5181
1977,5297
1977,5485
1977,4886
5296,5921
1685,5181
1685,5297
1685,5485
1685,4886
5181,1977
5181,5297
5181,5485
5181,4886
5181,3838
5297,1977
5297,1685
5297,5181
5297,5485
5297,4886
5485,1977
5485,1685
5485,5181
5485,5297
5485,4886
5485,3838
4886,1977
4886,1685
4886,5181
4886,5297
4886,5485
4886,3838
3838,5181
3838,5485
3838,4886
1819,1430
1430,2179
187,3108
1402,5968
1402,3116
5968,2178
5968,3116
3116,2178
3116,1402
4248,914
4248,5207
4248,1722
914,5207
914,1722
5207,4248
5207,1722
1722,4248
1722,914
1722,5207
1978,1853
1978,2573
1411,678
1853,2573
2573,1978
693,1811
693,4887
693,3941
693,220
1811,4887
1811,3941
1811,220
4887,693
4887,3941
4887,220
3941,693
3941,1811
3941,4887
3941,220
220,693
220,1811
220,4887
220,3941
3580,3956
6028,1747
6058,4405
6058,745
4405,745
745,6058
1514,2448
